SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,Latitude,Longitude,Location
Vacant/Abandoned Building,18-03380438,12/17/2018,Front,,Open,FRONT DOOR,Vacant,FALSE,FALSE,8201,S,ADA,ST,60620,1168755.218,1850381.029,21,6,71,41.74496469,-87.65723278,"(41.744964687112, -87.65723277941)"
Vacant/Abandoned Building,18-03379703,12/17/2018,Front,,Open,BAC,Vacant,FALSE,TRUE,7840,S,BENNETT,AVE,60649,1190229.942,1853363.519,8,4,43,41.75265895,-87.5784512,"(41.752658951975, -87.57845120487)"
Vacant/Abandoned Building,18-03384005,12/17/2018,Front,,Open,,Vacant,FALSE,FALSE,8455,S,BURNHAM,AVE,60617,1196293.482,1849447.121,7,4,46,41.74176392,-87.55636087,"(41.74176391586, -87.556360874371)"
Vacant/Abandoned Building,18-03382499,12/17/2018,Front,,Open,OPEN LOT,Occupied,FALSE,TRUE,731,N,PULASKI,RD,60624,1149592.312,1904587.94,37,11,23,41.89410779,-87.72604546,"(41.894107794896, -87.726045464583)"
Vacant/Abandoned Building,18-03374995,12/16/2018,Rear,,Boarded,,Vacant,FALSE,FALSE,8530,S,CARPENTER,ST,60620,1170805.105,1848250.943,21,6,71,41.739075,-87.64978369,"(41.739074997042, -87.649783686208)"
Vacant/Abandoned Building,18-03373667,12/16/2018,Rear,,Open,NORTHSIDE OF HOUSE,Vacant,FALSE,FALSE,6653,S,WABASH,AVE,60637,1177752.525,1860898.806,20,3,69,41.77362794,-87.62394764,"(41.773627937367, -87.623947644911)"
Vacant/Abandoned Building,18-03371860,12/16/2018,Front,,Boarded,,Vacant,FALSE,FALSE,6058,S,MOZART,ST,60629,1158417.219,1864343.723,16,8,66,41.78349708,-87.69473316,"(41.783497076114, -87.694733158334)"
Vacant/Abandoned Building,18-03364763,12/15/2018,Front,,Open,FRONT,Vacant,FALSE,TRUE,7222,S,EUCLID,AVE,60649,1190294.444,1857380.61,5,3,43,41.76368064,-87.5780856,"(41.76368063945, -87.57808559634)"
Vacant/Abandoned Building,18-03363941,12/15/2018,Front,,Open,FRONT AND REAR,Vacant,FALSE,FALSE,1131,S,MOZART,ST,60612,1157527.9,1895040.02,28,11,29,41.86774956,-87.69716038,"(41.867749559059, -87.697160376093)"
Vacant/Abandoned Building,18-03366142,12/15/2018,Front,,Open,DOORS/WINDOWS,Vacant,TRUE,FALSE,13143,S,CARONDOLET,AVE,60633,1198433.732,1818412.97,10,4,55,41.65654996,-87.54955402,"(41.656549964729, -87.549554018732)"
Vacant/Abandoned Building,18-03359362,12/14/2018,Front,,Boarded,,Vacant,FALSE,FALSE,11137,S,ASHLAND,AVE,60643,1167487.045,1830768.032,34,22,75,41.69117084,-87.66243957,"(41.691170836753, -87.662439568779)"
Vacant/Abandoned Building,18-03359220,12/14/2018,Front,,Boarded,,Vacant,FALSE,FALSE,1041,W,103RD,PL,60643,1171203.673,1836184.36,34,22,73,41.70595385,-87.64867501,"(41.705953848025, -87.648675009641)"
Vacant/Abandoned Building,18-03359445,12/14/2018,Front,,Open,,Vacant,FALSE,TRUE,313,W,111TH,ST,60628,1176113.189,1831318.671,34,5,49,41.69249317,-87.63084209,"(41.692493167773, -87.630842086452)"
Vacant/Abandoned Building,18-03359302,12/14/2018,Front,,Boarded,,Vacant,FALSE,FALSE,1221,W,107TH,PL,60643,1170059.726,1833488.334,34,22,75,41.69858041,-87.65294206,"(41.698580409934, -87.652942064189)"
Vacant/Abandoned Building,18-03361044,12/14/2018,Front,,Boarded,REAR,Vacant,FALSE,TRUE,1344,S,SPRINGFIELD,AVE,60623,1150594.28,1893464.274,24,10,29,41.86356371,-87.72265621,"(41.863563708931, -87.722656213422)"
Vacant/Abandoned Building,18-03359363,12/14/2018,Front,,Open,,Vacant,FALSE,TRUE,518,N,TROY,ST,60612,1155283.8,1903354.415,27,12,23,41.89061044,-87.70517548,"(41.890610439731, -87.705175484833)"
Vacant/Abandoned Building,18-03359458,12/14/2018,Front,,Open,ENTERING THROUGH THE FRONT AND THE GARAGE.,Vacant,FALSE,TRUE,5545,S,HONORE,ST,60636,1164966.16,1867830.873,15,7,67,41.79293028,-87.67062383,"(41.792930277198, -87.670623834892)"
Vacant/Abandoned Building,18-03358253,12/14/2018,Front,,Open,"DOORS, FROMT AND REAR",Occupied,FALSE,TRUE,620,E,89TH,PL,60619,1181938.639,1845771.199,6,6,44,41.73202039,-87.60906922,"(41.732020387326, -87.609069222012)"
Vacant/Abandoned Building,18-03359591,12/14/2018,Front,,Boarded,,Vacant,FALSE,TRUE,11841,S,LAFAYETTE,AVE,60628,1178042.355,1826446.197,34,5,53,41.67907899,-87.62392602,"(41.679078985654, -87.623926019425)"
Vacant/Abandoned Building,18-03358497,12/14/2018,Front,,Open,,Vacant,FALSE,FALSE,3533,N,OZARK,AVE,60634,1123790.525,1922547.402,38,16,17,41.94385306,-87.82041467,"(41.943853058031, -87.820414667337)"
Vacant/Abandoned Building,18-03359550,12/14/2018,Front,,Boarded,,Vacant,FALSE,TRUE,11011,S,HALSTED,ST,60628,1172943.853,1831833.09,34,22,49,41.69397516,-87.64243042,"(41.693975158873, -87.642430424044)"
Vacant/Abandoned Building,18-03359572,12/14/2018,Front,,Open,,Vacant,TRUE,TRUE,12312,S,LOWE,AVE,60628,1174168.41,1823234.89,34,5,53,41.67035329,-87.63820102,"(41.670353294772, -87.638201016169)"
Vacant/Abandoned Building,18-03362259,12/14/2018,Front,,Open,,Vacant,FALSE,TRUE,6057,S,MOZART,ST,60629,1158417.119,1864350.423,16,8,66,41.78351546,-87.69473334,"(41.783515463899, -87.694733342533)"
Vacant/Abandoned Building,18-03359892,12/14/2018,Garage,,Boarded,,Vacant,FALSE,FALSE,2651,W,AUGUSTA,BLVD,60622,1158539.098,1906551.044,26,12,24,41.89931625,-87.69313283,"(41.899316252056, -87.693132831124)"
